"NUM_POLIZA";"NUM_SPTO";"NUM_APLI";"NUM_SPTO_APLI";"COD_CIA";"NUM_RIESGO";"NUM_PERIODO";"COD_LISTA_OCU";"NUM_OCU";"MCA_VIGENTE";"MCA_INH";"IMP_OCU";"IMP_CAP";"ATR_OCU_1";"ATR_OCU_2";"ATR_OCU_3";"ATR_OCU_4";"MCA_SPTO_ANUL";"MCA_SPTO_TMP"
"073120000000015";"0";"1";"0";"2";"0";"1";"1";"1";"S";"N";"";"";"";"";"";"";"N";"N"
"073120000000015";"0";"0";"0";"2";"0";"1";"1";"1";"S";"N";"";"";"";"";"";"";"N";"N"
"073120000000015";"0";"0";"0";"2";"0";"1";"1";"2";"S";"N";"";"";"";"";"";"";"N";"N"
"073120000000015";"0";"0";"0";"2";"0";"1";"2";"1";"S";"N";"";"";"";"";"";"";"N";"N"
